,rn_numbers,top_labels
0,RG-50.030.0001,"{'camp': 10.1, 'food': 8.2, 'family': 8.0, 'fear': 6.9, 'government': 5.7, 'Jewish': 5.2, 'war': 4.9, 'ghetto': 4.7, 'school': 4.3, 'religion': 3.5, 'shooting': 3.5, 'hospital': 3.4, 'army': 3.0, 'hunger': 2.7, 'hiding': 2.6, 'kill': 2.6, 'survive': 2.6, 'work': 2.6, 'buildings': 2.4, 'relocation': 2.2, 'synagogue': 1.9, 'aid': 1.9, 'police': 1.6, 'prisoners': 1.3, 'sick': 1.1, 'russian': 1.0, 'Nazi': 0.9, 'polish': 0.7, 'american': 0.6}"
1,RG-50.030.0002,"{'camp': 13.9, 'food': 9.5, 'hospital': 7.2, 'family': 6.6, 'fear': 5.1, 'war': 4.6, 'government': 4.4, 'Jewish': 3.9, 'ghetto': 3.5, 'buildings': 3.5, 'school': 3.3, 'army': 3.1, 'hunger': 3.0, 'relocation': 3.0, 'sick': 2.8, 'survive': 2.7, 'work': 2.3, 'kill': 2.2, 'prisoners': 2.2, 'shooting': 2.2, 'aid': 2.1, 'religion': 1.9, 'hiding': 1.6, 'police': 1.3, 'Nazi': 1.2, 'synagogue': 1.1, 'polish': 0.7, 'russian': 0.5, 'american': 0.3}"
2,RG-50.030.0003,"{'family': 14.3, 'food': 7.3, 'hospital': 6.9, 'Jewish': 6.7, 'camp': 5.4, 'war': 5.2, 'school': 4.3, 'fear': 3.9, 'religion': 3.7, 'work': 3.5, 'government': 3.3, 'army': 3.3, 'survive': 3.1, 'Nazi': 2.6, 'shooting': 2.5, 'ghetto': 2.4, 'relocation': 2.2, 'aid': 2.1, 'buildings': 2.1, 'sick': 2.0, 'synagogue': 2.0, 'polish': 1.9, 'hunger': 1.8, 'kill': 1.8, 'police': 1.8, 'prisoners': 1.3, 'russian': 1.0, 'hiding': 0.9, 'american': 0.8}"
3,RG-50.030.0004,"{'camp': 14.9, 'family': 12.9, 'fear': 7.4, 'food': 6.9, 'school': 5.8, 'war': 5.7, 'shooting': 3.8, 'ghetto': 3.4, 'religion': 3.1, 'Jewish': 3.0, 'aid': 2.9, 'army': 2.9, 'hunger': 2.6, 'relocation': 2.6, 'work': 2.6, 'hiding': 2.5, 'sick': 2.5, 'hospital': 2.3, 'survive': 2.3, 'kill': 2.2, 'government': 1.9, 'police': 1.1, 'russian': 0.9, 'buildings': 0.9, 'prisoners': 0.8, 'synagogue': 0.8, 'american': 0.5, 'Nazi': 0.4, 'polish': 0.3}"
4,RG-50.030.0006,"{'camp': 13.6, 'food': 6.8, 'government': 6.3, 'war': 6.3, 'Jewish': 6.0, 'Nazi': 5.2, 'survive': 5.2, 'army': 5.2, 'fear': 4.9, 'family': 4.6, 'shooting': 3.8, 'hunger': 3.3, 'prisoners': 3.0, 'work': 3.0, 'ghetto': 2.7, 'school': 2.7, 'buildings': 2.7, 'hospital': 2.5, 'religion': 2.2, 'kill': 1.6, 'synagogue': 1.6, 'aid': 1.6, 'hiding': 1.4, 'american': 1.4, 'polish': 1.1, 'sick': 0.8, 'police': 0.3, 'russian': 0.3, 'relocation': 0.0}"
5,RG-50.030.0007,"{'camp': 12.3, 'food': 8.5, 'family': 6.7, 'government': 5.5, 'hospital': 5.5, 'religion': 4.5, 'Jewish': 4.3, 'work': 4.3, 'shooting': 4.2, 'fear': 4.0, 'war': 3.8, 'buildings': 3.7, 'school': 3.5, 'kill': 3.3, 'hunger': 2.9, 'aid': 2.9, 'army': 2.8, 'survive': 2.7, 'ghetto': 2.3, 'relocation': 2.3, 'sick': 1.9, 'synagogue': 1.9, 'prisoners': 1.6, 'police': 1.4, 'hiding': 1.1, 'Nazi': 0.6, 'american': 0.6, 'polish': 0.4, 'russian': 0.4}"
6,RG-50.030.0008,"{'family': 13.7, 'camp': 9.5, 'school': 7.6, 'food': 7.2, 'war': 6.1, 'fear': 4.9, 'government': 4.9, 'Jewish': 4.9, 'work': 4.6, 'ghetto': 3.8, 'shooting': 3.4, 'buildings': 3.4, 'survive': 3.0, 'hospital': 2.7, 'relocation': 2.3, 'russian': 2.3, 'aid': 2.3, 'sick': 1.9, 'army': 1.9, 'hunger': 1.5, 'kill': 1.5, 'Nazi': 1.5, 'hiding': 1.1, 'religion': 1.1, 'police': 0.8, 'polish': 0.8, 'synagogue': 0.8, 'american': 0.4, 'prisoners': 0.0}"
7,RG-50.030.0011,"{'family': 22.4, 'school': 11.8, 'war': 9.9, 'fear': 9.2, 'government': 7.9, 'camp': 7.9, 'Jewish': 5.3, 'food': 3.9, 'religion': 3.9, 'aid': 3.3, 'hiding': 2.6, 'hospital': 2.6, 'ghetto': 1.3, 'hunger': 1.3, 'Nazi': 1.3, 'synagogue': 1.3, 'army': 1.3, 'kill': 0.7, 'russian': 0.7, 'survive': 0.7, 'american': 0.7, 'police': 0.0, 'polish': 0.0, 'prisoners': 0.0, 'relocation': 0.0, 'shooting': 0.0, 'sick': 0.0, 'work': 0.0, 'buildings': 0.0}"
8,RG-50.030.0012,"{'camp': 17.4, 'fear': 9.6, 'army': 5.9, 'family': 5.6, 'government': 5.0, 'food': 4.8, 'work': 4.4, 'prisoners': 4.1, 'hospital': 3.7, 'survive': 3.7, 'war': 3.7, 'Jewish': 3.3, 'religion': 3.1, 'sick': 3.1, 'shooting': 2.8, 'buildings': 2.4, 'synagogue': 2.2, 'ghetto': 1.9, 'hiding': 1.9, 'police': 1.9, 'school': 1.9, 'relocation': 1.5, 'aid': 1.5, 'kill': 1.1, 'hunger': 0.9, 'Nazi': 0.9, 'polish': 0.6, 'russian': 0.6, 'american': 0.6}"
9,RG-50.030.0013,"{'family': 12.1, 'camp': 11.8, 'food': 7.4, 'school': 6.6, 'synagogue': 6.6, 'Jewish': 5.0, 'war': 5.0, 'government': 4.2, 'religion': 4.2, 'aid': 4.2, 'buildings': 3.9, 'fear': 3.4, 'army': 3.4, 'survive': 3.2, 'ghetto': 2.9, 'shooting': 2.4, 'work': 1.8, 'hunger': 1.6, 'Nazi': 1.6, 'police': 1.6, 'relocation': 1.6, 'hospital': 1.3, 'prisoners': 1.3, 'sick': 1.3, 'hiding': 0.8, 'kill': 0.5, 'polish': 0.3, 'russian': 0.0, 'american': 0.0}"
