,rn_numbers,top_labels
0,RG-50.030.0169,"[('Jewish', 11.1), ('american', 9.5), ('government', 8.4)]"
1,RG-50.233.0050,"[('food', 100.0), ('american', 0.0), ('army', 0.0)]"
2,RG-50.233.0058,"[('food', 100.0), ('american', 0.0), ('army', 0.0)]"
3,RG-50.233.0061,"[('hospital', 100.0), ('american', 0.0), ('army', 0.0)]"
4,RG-50.233.0068,"[('Jewish', 100.0), ('american', 0.0), ('army', 0.0)]"
5,RG-50.470.0004,"[('camp', 9.4), ('american', 7.6), ('Jewish', 7.6)]"
6,RG-50.470.0009,"[('food', 10.7), ('camp', 8.7), ('american', 8.3)]"
7,RG-50.470.0011,"[('camp', 16.4), ('american', 10.9), ('survive', 9.2)]"
8,RG-50.470.0013,"[('american', 13.2), ('food', 10.3), ('government', 10.3)]"
9,RG-50.470.0017,"[('american', 13.0), ('camp', 10.1), ('army', 9.6)]"
10,RG-50.470.0018,"[('camp', 14.8), ('shooting', 10.5), ('american', 8.3)]"
11,RG-50.470.0021,"[('camp', 17.6), ('shooting', 10.1), ('american', 9.2)]"
12,RG-50.470.0024,"[('camp', 13.9), ('american', 10.9), ('Jewish', 10.9)]"
