,rn_numbers,top_labels
0,RG-50.030.0001,"[('camp', 10.1), ('food', 8.2), ('family', 8.0)]"
1,RG-50.030.0002,"[('camp', 13.9), ('food', 9.5), ('hospital', 7.2)]"
2,RG-50.030.0004,"[('camp', 14.9), ('family', 12.9), ('fear', 7.4)]"
3,RG-50.030.0006,"[('camp', 13.6), ('food', 6.8), ('government', 6.3)]"
4,RG-50.030.0007,"[('camp', 12.3), ('food', 8.5), ('family', 6.7)]"
5,RG-50.030.0008,"[('family', 13.7), ('camp', 9.5), ('school', 7.6)]"
6,RG-50.030.0012,"[('camp', 17.4), ('fear', 9.6), ('army', 5.9)]"
7,RG-50.030.0013,"[('family', 12.1), ('camp', 11.8), ('food', 7.4)]"
8,RG-50.030.0014,"[('family', 14.5), ('camp', 11.1), ('food', 9.5)]"
9,RG-50.030.0015,"[('family', 12.4), ('camp', 10.0), ('war', 7.9)]"
10,RG-50.030.0016,"[('camp', 20.9), ('family', 8.8), ('food', 8.2)]"
11,RG-50.030.0017,"[('camp', 17.6), ('family', 8.6), ('food', 8.3)]"
12,RG-50.030.0018,"[('camp', 14.4), ('family', 9.3), ('fear', 8.1)]"
13,RG-50.030.0020,"[('camp', 12.4), ('family', 11.4), ('food', 8.0)]"
14,RG-50.030.0021,"[('hospital', 9.5), ('family', 7.9), ('camp', 7.3)]"
15,RG-50.030.0022,"[('food', 11.4), ('camp', 11.3), ('fear', 10.1)]"
16,RG-50.030.0023,"[('camp', 22.2), ('fear', 10.2), ('family', 9.5)]"
17,RG-50.030.0025,"[('camp', 11.9), ('food', 11.2), ('family', 8.4)]"
18,RG-50.030.0026,"[('camp', 14.0), ('family', 13.1), ('food', 9.8)]"
19,RG-50.030.0027,"[('camp', 9.5), ('government', 8.5), ('war', 7.9)]"
20,RG-50.030.0028,"[('family', 11.8), ('camp', 8.1), ('fear', 8.0)]"
21,RG-50.030.0029,"[('camp', 15.4), ('family', 12.5), ('work', 8.8)]"
22,RG-50.030.0030,"[('family', 14.2), ('food', 10.4), ('camp', 9.5)]"
23,RG-50.030.0033,"[('camp', 12.6), ('family', 9.6), ('food', 6.7)]"
24,RG-50.030.0034,"[('camp', 12.9), ('family', 10.8), ('hospital', 9.2)]"
25,RG-50.030.0035,"[('camp', 12.7), ('family', 10.8), ('food', 9.6)]"
26,RG-50.030.0036,"[('family', 10.7), ('camp', 9.9), ('fear', 7.4)]"
27,RG-50.030.0038,"[('camp', 13.0), ('family', 12.9), ('food', 6.3)]"
28,RG-50.030.0040,"[('camp', 12.3), ('family', 10.0), ('food', 8.1)]"
29,RG-50.030.0041,"[('camp', 13.1), ('family', 10.6), ('food', 7.5)]"
30,RG-50.030.0042,"[('camp', 19.9), ('fear', 7.3), ('war', 7.1)]"
31,RG-50.030.0043,"[('camp', 10.5), ('food', 9.2), ('family', 9.0)]"
32,RG-50.030.0044,"[('camp', 14.3), ('family', 12.8), ('food', 8.2)]"
33,RG-50.030.0045,"[('camp', 25.8), ('government', 7.3), ('war', 5.8)]"
34,RG-50.030.0046,"[('camp', 19.1), ('family', 10.3), ('food', 7.0)]"
35,RG-50.030.0047,"[('family', 11.9), ('food', 11.4), ('camp', 8.2)]"
36,RG-50.030.0048,"[('family', 13.5), ('food', 10.0), ('camp', 8.1)]"
37,RG-50.030.0049,"[('family', 13.7), ('camp', 10.6), ('fear', 6.7)]"
38,RG-50.030.0050,"[('camp', 14.0), ('fear', 10.2), ('family', 7.6)]"
39,RG-50.030.0051,"[('family', 12.9), ('food', 11.7), ('camp', 8.2)]"
40,RG-50.030.0052,"[('camp', 14.5), ('government', 9.3), ('food', 6.9)]"
41,RG-50.030.0054,"[('family', 14.8), ('camp', 12.5), ('fear', 8.4)]"
42,RG-50.030.0055,"[('camp', 9.8), ('family', 8.1), ('food', 6.6)]"
43,RG-50.030.0056,"[('family', 13.1), ('camp', 10.9), ('war', 7.6)]"
44,RG-50.030.0057,"[('government', 12.6), ('family', 10.1), ('camp', 7.9)]"
45,RG-50.030.0058,"[('family', 13.6), ('camp', 10.6), ('war', 6.6)]"
46,RG-50.030.0060,"[('family', 12.9), ('food', 8.4), ('camp', 7.6)]"
47,RG-50.030.0061,"[('family', 16.1), ('food', 9.8), ('camp', 7.7)]"
48,RG-50.030.0062,"[('family', 14.4), ('camp', 12.1), ('government', 7.7)]"
49,RG-50.030.0063,"[('family', 9.6), ('camp', 9.5), ('government', 9.2)]"
50,RG-50.030.0064,"[('family', 12.0), ('fear', 10.6), ('camp', 8.9)]"
51,RG-50.030.0066,"[('camp', 15.5), ('family', 10.5), ('food', 9.9)]"
52,RG-50.030.0067,"[('camp', 13.2), ('family', 10.5), ('food', 9.6)]"
53,RG-50.030.0068,"[('food', 9.5), ('family', 9.1), ('camp', 7.6)]"
54,RG-50.030.0070,"[('camp', 12.6), ('school', 7.5), ('food', 7.1)]"
55,RG-50.030.0071,"[('family', 11.9), ('camp', 11.6), ('school', 6.9)]"
56,RG-50.030.0073,"[('family', 15.0), ('camp', 9.7), ('army', 7.3)]"
57,RG-50.030.0074,"[('camp', 12.8), ('family', 9.0), ('Jewish', 8.2)]"
58,RG-50.030.0075,"[('family', 10.6), ('camp', 9.8), ('food', 8.3)]"
59,RG-50.030.0076,"[('camp', 12.8), ('family', 12.4), ('war', 11.5)]"
60,RG-50.030.0077,"[('family', 13.6), ('camp', 12.3), ('war', 7.1)]"
61,RG-50.030.0078,"[('camp', 14.3), ('family', 10.7), ('fear', 8.1)]"
62,RG-50.030.0079,"[('camp', 13.3), ('school', 12.4), ('government', 8.8)]"
63,RG-50.030.0080,"[('family', 12.1), ('camp', 10.9), ('food', 9.6)]"
64,RG-50.030.0081,"[('camp', 14.2), ('food', 7.6), ('government', 7.5)]"
65,RG-50.030.0082,"[('camp', 13.7), ('family', 9.7), ('Jewish', 6.3)]"
66,RG-50.030.0083,"[('camp', 11.0), ('fear', 10.7), ('family', 9.0)]"
67,RG-50.030.0084,"[('family', 14.5), ('camp', 11.6), ('government', 7.3)]"
68,RG-50.030.0085,"[('family', 11.7), ('camp', 10.6), ('Jewish', 8.1)]"
69,RG-50.030.0086,"[('family', 12.0), ('camp', 11.6), ('war', 6.4)]"
70,RG-50.030.0087,"[('camp', 12.2), ('food', 8.4), ('family', 8.1)]"
71,RG-50.030.0088,"[('government', 8.8), ('camp', 8.4), ('family', 7.8)]"
72,RG-50.030.0089,"[('camp', 10.3), ('family', 9.3), ('food', 9.3)]"
73,RG-50.030.0090,"[('family', 12.4), ('camp', 10.2), ('Jewish', 8.8)]"
74,RG-50.030.0091,"[('camp', 13.9), ('government', 9.6), ('family', 9.0)]"
